ZIP Code,2020,2021,2022,Population Growth
01010,3663.0,3703.0,3699.0,36.0
01011,1486.0,1332.0,1318.0,-168.0
01012,595.0,503.0,440.0,-155.0
01013,22739.0,22709.0,22895.0,156.0
01020,30249.0,30704.0,30417.0,168.0
01022,2203.0,2235.0,2144.0,-59.0
01026,1030.0,1071.0,1073.0,43.0
01027,17641.0,17708.0,17711.0,70.0
01028,16215.0,16386.0,16273.0,58.0
01029,572.0,511.0,527.0,-45.0
01030,12563.0,12627.0,12561.0,-2.0
01031,1436.0,1577.0,1697.0,261.0
01032,482.0,430.0,484.0,2.0
01033,6310.0,6110.0,6096.0,-214.0
01034,2115.0,1991.0,2065.0,-50.0
01035,5328.0,5293.0,5295.0,-33.0
01036,5174.0,4991.0,4966.0,-208.0
01037,642.0,692.0,582.0,-60.0
01038,2653.0,2601.0,2469.0,-184.0
01039,1368.0,1675.0,1728.0,360.0
01040,40161.0,38480.0,38210.0,-1951.0
01050,2454.0,2593.0,2714.0,260.0
01053,1850.0,2016.0,1885.0,35.0
01054,1875.0,1794.0,1793.0,-82.0
01056,21223.0,21050.0,20883.0,-340.0
01057,8778.0,8288.0,8215.0,-563.0
01060,16386.0,14975.0,14724.0,-1662.0
01062,9693.0,9835.0,9491.0,-202.0
01063,623.0,2532.0,2089.0,1466.0
01066,30.0,51.0,134.0,104.0
01068,1636.0,1621.0,1585.0,-51.0
01069,8716.0,8870.0,8516.0,-200.0
01070,679.0,621.0,571.0,-108.0
01071,1392.0,1280.0,1259.0,-133.0
01072,1541.0,1374.0,1413.0,-128.0
01073,6169.0,6158.0,6185.0,16.0
01074,396.0,584.0,694.0,298.0
01075,17715.0,18051.0,17115.0,-600.0
01077,9722.0,9292.0,9244.0,-478.0
01079,515.0,521.0,640.0,125.0
01080,2419.0,2276.0,2674.0,255.0
01081,1937.0,1748.0,1716.0,-221.0
01082,10341.0,10441.0,10533.0,192.0
01083,3125.0,2701.0,2539.0,-586.0
01084,165.0,101.0,99.0,-66.0
01085,41758.0,41715.0,41592.0,-166.0
01086,351.0,,,
01088,588.0,663.0,725.0,137.0
01089,28527.0,28814.0,28755.0,228.0
01092,1200.0,1248.0,1428.0,228.0
01093,295.0,157.0,145.0,-150.0
01094,428.0,70.0,44.0,-384.0
01095,14740.0,14737.0,14673.0,-67.0
01096,2288.0,2413.0,2516.0,228.0
01097,93.0,64.0,36.0,-57.0
01098,1182.0,1042.0,951.0,-231.0
01103,1989.0,2168.0,2245.0,256.0
01104,23150.0,23226.0,22606.0,-544.0
01105,12651.0,12527.0,12045.0,-606.0
01106,15982.0,16150.0,16019.0,37.0
01107,11693.0,12387.0,12443.0,750.0
01108,26397.0,26257.0,26198.0,-199.0
01109,30684.0,31242.0,31301.0,617.0
01118,14839.0,15073.0,15112.0,273.0
01119,13253.0,13803.0,14182.0,929.0
01128,2989.0,3232.0,3063.0,74.0
01129,6296.0,5916.0,6486.0,190.0
01144,,0.0,0.0,
01151,9485.0,9640.0,9467.0,-18.0
01199,0.0,,,
01201,43941.0,45372.0,45188.0,1247.0
01220,8129.0,8161.0,8149.0,20.0
01222,720.0,754.0,623.0,-97.0
01223,2499.0,2658.0,2565.0,66.0
01224,163.0,186.0,124.0,-39.0
01225,3093.0,3243.0,3239.0,146.0
01226,6698.0,6356.0,6332.0,-366.0
01229,59.0,142.0,125.0,66.0
01230,8354.0,9139.0,9095.0,741.0
01235,2369.0,2610.0,2461.0,92.0
01236,1577.0,1632.0,1625.0,48.0
01237,2522.0,2332.0,2451.0,-71.0
01238,5980.0,5626.0,5928.0,-52.0
01240,4666.0,4926.0,4922.0,256.0
01242,337.0,279.0,255.0,-82.0
01243,258.0,163.0,135.0,-123.0
01244,120.0,164.0,158.0,38.0
01245,774.0,771.0,828.0,54.0
01247,15340.0,15405.0,15279.0,-61.0
01253,789.0,879.0,818.0,29.0
01254,961.0,995.0,961.0,0.0
01255,891.0,865.0,931.0,40.0
01256,701.0,708.0,620.0,-81.0
01257,1858.0,2034.0,2230.0,372.0
01258,604.0,161.0,188.0,-416.0
01259,617.0,720.0,733.0,116.0
01260,191.0,331.0,20.0,-171.0
01262,1136.0,1627.0,1785.0,649.0
01264,214.0,252.0,207.0,-7.0
01266,1281.0,920.0,952.0,-329.0
01267,7796.0,8166.0,8142.0,346.0
01270,897.0,949.0,999.0,102.0
01301,17611.0,17901.0,17880.0,269.0
01330,1594.0,1542.0,1607.0,13.0
01331,13609.0,13870.0,13845.0,236.0
01337,2442.0,2492.0,2470.0,28.0
01338,150.0,97.0,65.0,-85.0
01339,1410.0,1493.0,1396.0,-14.0
01340,1780.0,1818.0,1890.0,110.0
01341,1796.0,1658.0,1620.0,-176.0
01342,1165.0,1135.0,1321.0,156.0
01343,78.0,152.0,167.0,89.0
01344,1343.0,1697.0,1631.0,288.0
01346,544.0,407.0,409.0,-135.0
01347,139.0,207.0,197.0,58.0
01349,1267.0,715.0,764.0,-503.0
01350,100.0,114.0,103.0,3.0
01351,2577.0,2725.0,2741.0,164.0
01354,1732.0,1708.0,1747.0,15.0
01355,981.0,1010.0,1009.0,28.0
01360,2973.0,2899.0,2871.0,-102.0
01364,7721.0,7684.0,7643.0,-78.0
01366,1155.0,1141.0,1177.0,22.0
01367,519.0,473.0,504.0,-15.0
01368,1451.0,1461.0,1455.0,4.0
01370,3727.0,3690.0,3713.0,-14.0
01373,4866.0,5076.0,4921.0,55.0
01375,3643.0,3667.0,3658.0,15.0
01376,4630.0,4968.0,4868.0,238.0
01378,738.0,762.0,814.0,76.0
01379,835.0,819.0,779.0,-56.0
01380,,47.0,25.0,
01420,40576.0,41766.0,41661.0,1085.0
01430,6320.0,6316.0,6457.0,137.0
01431,3211.0,3189.0,3187.0,-24.0
01432,7760.0,7912.0,8118.0,358.0
01434,2007.0,2245.0,1763.0,-244.0
01436,3538.0,3673.0,3694.0,156.0
01438,512.0,365.0,385.0,-127.0
01440,20605.0,21310.0,21231.0,626.0
01450,11322.0,11218.0,11212.0,-110.0
01451,4576.0,5068.0,5362.0,786.0
01452,4758.0,4338.0,4338.0,-420.0
01453,41654.0,43478.0,43550.0,1896.0
01460,10152.0,10063.0,10084.0,-68.0
01462,11530.0,11657.0,11765.0,235.0
01463,12113.0,11707.0,11667.0,-446.0
01464,7616.0,7400.0,7092.0,-524.0
01467,407.0,,,
01468,4065.0,4058.0,4009.0,-56.0
01469,7812.0,7479.0,7168.0,-644.0
01473,7874.0,8148.0,8220.0,346.0
01474,1685.0,1665.0,1902.0,217.0
01475,10831.0,10292.0,10180.0,-651.0
01501,16627.0,16684.0,16763.0,136.0
01503,3312.0,3326.0,3514.0,202.0
01504,9249.0,9188.0,9195.0,-54.0
01505,4666.0,4810.0,4855.0,189.0
01506,3439.0,3435.0,3443.0,4.0
01507,13610.0,13312.0,13338.0,-272.0
01510,13940.0,15221.0,15347.0,1407.0
01515,2157.0,2040.0,2120.0,-37.0
01516,9168.0,9186.0,9213.0,45.0
01518,3606.0,3299.0,3047.0,-559.0
01519,7566.0,7626.0,7634.0,68.0
01520,16059.0,16752.0,16893.0,834.0
01521,2492.0,2591.0,2585.0,93.0
01522,3069.0,2907.0,2890.0,-179.0
01523,7809.0,8359.0,8395.0,586.0
01524,6778.0,6296.0,6077.0,-701.0
01525,309.0,31.0,31.0,-278.0
01527,13822.0,13827.0,13852.0,30.0
01529,3249.0,3166.0,3176.0,-73.0
01531,1155.0,1052.0,984.0,-171.0
01532,15047.0,15605.0,15647.0,600.0
01534,5885.0,6169.0,5893.0,8.0
01535,4774.0,4757.0,4750.0,-24.0
01536,7030.0,7141.0,7282.0,252.0
01537,2244.0,1775.0,1935.0,-309.0
01540,11679.0,11529.0,11420.0,-259.0
01541,3466.0,3502.0,3497.0,31.0
01542,2544.0,2667.0,2815.0,271.0
01543,8799.0,8988.0,9102.0,303.0
01545,37683.0,38291.0,38734.0,1051.0
01550,16865.0,17643.0,17669.0,804.0
01560,4467.0,4773.0,4734.0,267.0
01561,102.0,69.0,0.0,-102.0
01562,11942.0,11963.0,11955.0,13.0
01564,8130.0,8015.0,8053.0,-77.0
01566,5953.0,6507.0,6795.0,842.0
01568,7968.0,7826.0,7828.0,-140.0
01569,13901.0,13948.0,14039.0,138.0
01570,16934.0,17664.0,17671.0,737.0
01571,11699.0,11890.0,11885.0,186.0
01581,19035.0,21213.0,21360.0,2325.0
01583,7752.0,7607.0,7476.0,-276.0
01585,4601.0,4864.0,4841.0,240.0
01588,10439.0,10206.0,10468.0,29.0
01590,9458.0,9219.0,9268.0,-190.0
01602,24363.0,26711.0,25869.0,1506.0
01603,18612.0,20184.0,20678.0,2066.0
01604,37633.0,40961.0,40724.0,3091.0
01605,27587.0,30353.0,30590.0,3003.0
01606,20060.0,22883.0,22636.0,2576.0
01607,8410.0,8836.0,8630.0,220.0
01608,4910.0,4782.0,5080.0,170.0
01609,21780.0,23509.0,23256.0,1476.0
01610,22152.0,26057.0,27033.0,4881.0
01611,2036.0,2209.0,2188.0,152.0
01612,4961.0,5005.0,5013.0,52.0
01701,33742.0,33319.0,32973.0,-769.0
01702,39163.0,38842.0,38898.0,-265.0
01718,709.0,767.0,737.0,28.0
01719,5677.0,5471.0,5462.0,-215.0
01720,22914.0,23107.0,23081.0,167.0
01721,17787.0,18646.0,18634.0,847.0
01730,14072.0,14233.0,14408.0,336.0
01731,2119.0,1917.0,1784.0,-335.0
01740,5356.0,5606.0,5653.0,297.0
01741,5232.0,5215.0,5209.0,-23.0
01742,18927.0,18393.0,18311.0,-616.0
01745,600.0,538.0,554.0,-46.0
01746,14792.0,14386.0,14902.0,110.0
01747,5956.0,6012.0,6021.0,65.0
01748,18030.0,18501.0,18748.0,718.0
01749,19863.0,20032.0,19947.0,84.0
01752,39663.0,41505.0,41391.0,1728.0
01754,10900.0,10702.0,10671.0,-229.0
01756,6146.0,6212.0,6238.0,92.0
01757,28936.0,30294.0,30411.0,1475.0
01760,35770.0,36354.0,36274.0,504.0
01770,4324.0,4406.0,4404.0,80.0
01772,9551.0,9842.0,9867.0,316.0
01773,4847.0,5155.0,5216.0,369.0
01775,7159.0,7130.0,7111.0,-48.0
01776,19248.0,18912.0,18926.0,-322.0
01778,14038.0,14060.0,14070.0,32.0
01801,40297.0,40967.0,40992.0,695.0
01803,28077.0,26234.0,26004.0,-2073.0
01810,36098.0,35600.0,35612.0,-486.0
01821,32936.0,31499.0,30854.0,-2082.0
01824,25762.0,26574.0,26612.0,850.0
01826,31389.0,32313.0,32309.0,920.0
01827,3374.0,3369.0,3359.0,-15.0
01830,26225.0,27403.0,26885.0,660.0
01832,23736.0,25526.0,25707.0,1971.0
01833,8733.0,8384.0,8389.0,-344.0
01834,6815.0,6739.0,6742.0,-73.0
01835,13822.0,14164.0,14681.0,859.0
01840,5416.0,6814.0,6977.0,1561.0
01841,49437.0,53180.0,52738.0,3301.0
01843,25170.0,27804.0,28352.0,3182.0
01844,50517.0,52502.0,52780.0,2263.0
01845,31262.0,31394.0,31624.0,362.0
01850,15950.0,16438.0,16806.0,856.0
01851,31558.0,32469.0,32323.0,765.0
01852,35033.0,36740.0,36546.0,1513.0
01854,28770.0,29157.0,29062.0,292.0
01860,6926.0,6698.0,6717.0,-209.0
01862,10519.0,10719.0,11126.0,607.0
01863,9477.0,9697.0,9570.0,93.0
01864,15672.0,15549.0,15529.0,-143.0
01867,25236.0,25511.0,25443.0,207.0
01876,30973.0,30930.0,30817.0,-156.0
01879,12511.0,12454.0,12385.0,-126.0
01880,26704.0,27179.0,27026.0,322.0
01886,24566.0,24535.0,24524.0,-42.0
01887,23390.0,23311.0,23191.0,-199.0
01890,22760.0,22875.0,22809.0,49.0
01901,2370.0,2291.0,1658.0,-712.0
01902,49472.0,51008.0,51931.0,2459.0
01904,17928.0,19912.0,20078.0,2150.0
01905,24369.0,26962.0,26986.0,2617.0
01906,28334.0,28521.0,28566.0,232.0
01907,15468.0,15183.0,15208.0,-260.0
01908,3512.0,3354.0,3336.0,-176.0
01913,17474.0,17286.0,17279.0,-195.0
01915,42062.0,41545.0,41611.0,-451.0
01921,8316.0,8265.0,8234.0,-82.0
01922,3758.0,3929.0,3827.0,69.0
01923,27367.0,27789.0,27734.0,367.0
01929,3771.0,3650.0,3648.0,-123.0
01930,30291.0,29814.0,29830.0,-461.0
01937,182.0,177.0,176.0,-6.0
01938,14022.0,13740.0,13791.0,-231.0
01940,13429.0,13023.0,13072.0,-357.0
01944,5400.0,5382.0,5386.0,-14.0
01945,20530.0,20397.0,20373.0,-157.0
01949,9952.0,9726.0,9668.0,-284.0
01950,18197.0,18282.0,18356.0,159.0
01951,3348.0,2816.0,2896.0,-452.0
01952,9477.0,9152.0,9182.0,-295.0
