ZIP Code,Simpson Diversity Index,Year
00601,0.46724399999999977,2020
00602,0.384108,2020
00603,0.38836399999999993,2020
00606,0.7411099999999999,2020
00610,0.39995100000000017,2020
00612,0.547029,2020
00616,0.5162740000000001,2020
00617,0.4964359999999999,2020
00622,0.92303,2020
00623,0.935333,2020
00624,0.5024599999999999,2020
00627,0.1786500000000001,2020
00631,0.4538789999999998,2020
00637,0.594921,2020
00638,0.28636399999999984,2020
00641,0.798667,2020
00646,0.509246,2020
00647,0.76057,2020
00650,0.468685,2020
00652,0.430763,2020
00653,0.696002,2020
00656,0.41245900000000013,2020
00659,0.16001900000000013,2020
00660,0.95237,2020
00662,0.625051,2020
00664,0.740532,2020
00667,0.928429,2020
00669,0.49407899999999993,2020
00670,0.7504899999999999,2020
00674,0.4254819999999999,2020
00676,0.35089499999999985,2020
00677,0.42201,2020
00678,0.2863089999999998,2020
00680,0.938972,2020
00682,0.928043,2020
00683,0.657726,2020
00685,0.610589,2020
00687,0.3511420000000002,2020
00688,0.584775,2020
00690,0.3376819999999999,2020
00692,0.612252,2020
00693,0.4448699999999999,2020
00694,0.0,2020
00698,0.471631,2020
00703,0.63199,2020
00704,0.641653,2020
00705,0.546987,2020
00707,0.48447699999999994,2020
00714,0.5335639999999999,2020
00715,0.638482,2020
00716,0.40441099999999996,2020
00717,0.4941010000000001,2020
00718,0.6145940000000001,2020
00719,0.38330200000000003,2020
00720,0.42199200000000003,2020
00723,0.3938769999999999,2020
00725,0.5237930000000001,2020
00727,0.4419179999999999,2020
00728,0.4399219999999999,2020
00729,0.774852,2020
00730,0.448955,2020
00731,0.438582,2020
00735,0.7189099999999999,2020
00736,0.5993350000000002,2020
00738,0.7263729999999999,2020
00739,0.563379,2020
00740,0.814466,2020
00741,0.736997,2020
00745,0.762678,2020
00751,0.595294,2020
00754,0.646856,2020
00757,0.6191500000000001,2020
00765,0.7966530000000001,2020
00766,0.5990979999999999,2020
00767,0.52142,2020
00769,0.5782209999999999,2020
00771,0.48184899999999997,2020
00772,0.785214,2020
00773,0.7201960000000001,2020
00775,0.7409950000000001,2020
00777,0.7730980000000001,2020
00778,0.643788,2020
00780,0.55883,2020
00782,0.41544799999999993,2020
00783,0.454759,2020
00784,0.4851249999999999,2020
00786,0.0,2020
00791,0.756423,2020
00794,0.38781199999999993,2020
00795,0.6577500000000001,2020
00901,0.5085389999999999,2020
00906,0.0,2020
00907,0.5502520000000002,2020
00909,0.783615,2020
00911,0.598806,2020
00912,0.799039,2020
00913,0.8606659999999999,2020
00915,0.918928,2020
00917,0.6191260000000001,2020
00918,0.5336710000000001,2020
00920,0.66924,2020
00921,0.700575,2020
00923,0.66204,2020
00924,0.624403,2020
00925,0.6300839999999999,2020
00926,0.507789,2020
00927,0.46988699999999994,2020
00934,0.469742,2020
00936,0.3019999999999998,2020
00949,0.5231549999999999,2020
00950,1.0,2020
00951,1.0,2020
00952,0.63365,2020
00953,0.3554919999999999,2020
00956,0.5719000000000001,2020
00957,0.5510519999999999,2020
00959,0.567391,2020
00960,0.5584979999999999,2020
00961,0.5671919999999999,2020
00962,0.562222,2020
00965,0.604792,2020
00966,0.5101749999999999,2020
00968,0.4329700000000001,2020
00969,0.511172,2020
00971,0.576642,2020
00976,0.456661,2020
00979,0.6365989999999999,2020
00982,0.685155,2020
00983,0.721781,2020
00985,0.7412030000000001,2020
00987,0.719674,2020
01001,0.16703099999999993,2020
01002,0.440592,2020
01003,0.520546,2020
01005,0.10767999999999989,2020
01007,0.15466099999999994,2020
01008,0.03930200000000006,2020
01009,0.0,2020
01010,0.27373400000000003,2020
01011,0.06615899999999997,2020
01012,0.06837500000000007,2020
01013,0.40366199999999997,2020
01020,0.25057300000000005,2020
01022,0.44145900000000005,2020
01026,0.033514000000000044,2020
01027,0.11819500000000005,2020
01028,0.17589699999999986,2020
01029,0.03354199999999996,2020
01030,0.10398700000000005,2020
01031,0.17669099999999993,2020
01032,0.01593600000000006,2020
01033,0.07637000000000005,2020
01034,0.103769,2020
01035,0.23329100000000003,2020
01036,0.11417500000000014,2020
01037,0.11132199999999981,2020
01038,0.12164199999999992,2020
01039,0.13758400000000015,2020
01040,0.3493059999999999,2020
01050,0.11475400000000002,2020
01053,0.09640700000000002,2020
01054,0.1586059999999999,2020
01056,0.14324499999999996,2020
01057,0.07627100000000009,2020
01060,0.28421399999999974,2020
01062,0.16518200000000005,2020
01063,0.438866,2020
01066,0.0,2020
01068,0.045294000000000056,2020
01069,0.19925799999999994,2020
01070,0.25471,2020
01071,0.13099400000000005,2020
01072,0.253895,2020
01073,0.12677100000000008,2020
01074,0.12675199999999998,2020
01075,0.18886899999999995,2020
01077,0.10065400000000002,2020
01079,0.0,2020
01080,0.30427400000000004,2020
01081,0.0643929999999997,2020
01082,0.09479100000000007,2020
01083,0.08606400000000003,2020
01084,0.258679,2020
01085,0.18919799999999987,2020
01086,0.16948699999999994,2020
01088,0.01783800000000002,2020
01089,0.28489299999999973,2020
01092,0.046848,2020
01093,0.0,2020
01094,0.07126200000000016,2020
01095,0.13886999999999983,2020
01096,0.005981999999999932,2020
01097,0.08230199999999988,2020
01098,0.015927000000000024,2020
01103,0.733985,2020
01104,0.5680859999999999,2020
01105,0.69863,2020
