ZIP Code,Population,Year
01748,18030,2020
01749,19863,2020
01752,39663,2020
01754,10900,2020
01756,6146,2020
01757,28936,2020
01760,35770,2020
01770,4324,2020
01772,9551,2020
01773,4847,2020
01775,7159,2020
01776,19248,2020
01778,14038,2020
01801,40297,2020
01803,28077,2020
01810,36098,2020
01821,32936,2020
01824,25762,2020
01826,31389,2020
01827,3374,2020
01830,26225,2020
01832,23736,2020
01833,8733,2020
01834,6815,2020
01835,13822,2020
01840,5416,2020
01841,49437,2020
01843,25170,2020
01844,50517,2020
01845,31262,2020
01850,15950,2020
01851,31558,2020
01852,35033,2020
01854,28770,2020
01860,6926,2020
01862,10519,2020
01863,9477,2020
01864,15672,2020
01867,25236,2020
01876,30973,2020
01879,12511,2020
01880,26704,2020
01886,24566,2020
01887,23390,2020
01890,22760,2020
01901,2370,2020
01902,49472,2020
01904,17928,2020
01905,24369,2020
01906,28334,2020
01907,15468,2020
01908,3512,2020
01913,17474,2020
01915,42062,2020
01921,8316,2020
01922,3758,2020
01923,27367,2020
01929,3771,2020
01930,30291,2020
01937,182,2020
01938,14022,2020
01940,13429,2020
01944,5400,2020
01945,20530,2020
01949,9952,2020
01950,18197,2020
01951,3348,2020
01952,9477,2020
01960,52880,2020
01966,7269,2020
01969,6375,2020
01970,43120,2020
01982,8048,2020
01983,6613,2020
01984,5208,2020
01985,4688,2020
02019,17196,2020
02021,23615,2020
02025,8520,2020
02026,25316,2020
02030,6079,2020
02032,4360,2020
02035,17917,2020
02038,33644,2020
02043,23983,2020
02045,10478,2020
02047,156,2020
02048,24145,2020
02050,26109,2020
02052,12926,2020
02053,13398,2020
02054,8288,2020
02056,11861,2020
02061,11120,2020
02062,29446,2020
02066,18511,2020
02067,18653,2020
02071,1230,2020
02072,28742,2020
02081,19850,2020
02090,16229,2020
02093,11930,2020
02108,4520,2020
02109,3639,2020
02110,2340,2020
02111,7949,2020
02113,7339,2020
02114,13260,2020
02115,29134,2020
02116,23007,2020
02118,28892,2020
02119,27426,2020
02120,15210,2020
02121,29570,2020
02122,24874,2020
02124,57128,2020
02125,34725,2020
02126,29807,2020
02127,36941,2020
02128,47804,2020
02129,20504,2020
02130,42021,2020
02131,34048,2020
02132,28263,2020
02134,19552,2020
02135,45496,2020
02136,36417,2020
02138,39139,2020
02139,39702,2020
02140,20954,2020
02141,14437,2020
02142,4074,2020
02143,25102,2020
02144,25009,2020
02145,28372,2020
02148,60710,2020
02149,46275,2020
02150,39862,2020
02151,53416,2020
02152,18558,2020
02155,60533,2020
02163,2343,2020
02169,56999,2020
02170,19163,2020
02171,18227,2020
02176,28054,2020
02180,23625,2020
02184,37196,2020
02186,27590,2020
02188,16114,2020
02189,15337,2020
02190,17466,2020
02191,8296,2020
02199,1435,2020
02203,24,2020
02210,4538,2020
02215,26243,2020
02301,63920,2020
02302,31820,2020
02322,4513,2020
02324,27441,2020
02330,11745,2020
02332,15912,2020
02333,14509,2020
02338,7830,2020
02339,14526,2020
02341,10874,2020
