ZIP Code,2020,2021,2022,Diversity Growth Metric
00601,0.46724399999999977,0.28307400000000005,0.2858329999999998,1
00602,0.384108,0.516977,0.5534840000000001,4
00603,0.38836399999999993,0.4410179999999999,0.44673399999999996,3
00606,0.7411099999999999,0.6650049999999998,0.5535240000000001,1
00610,0.39995100000000017,0.534754,0.581051,4
00611,,0.745804,0.659219,
00612,0.547029,0.6915709999999999,0.7552059999999999,5
00616,0.5162740000000001,0.6456419999999999,0.762694,5
00617,0.4964359999999999,0.682046,0.713131,5
00622,0.92303,0.836503,0.775706,1
00623,0.935333,0.872937,0.806947,1
00624,0.5024599999999999,0.47533100000000006,0.4458430000000001,2
00627,0.1786500000000001,0.20647899999999997,0.3316410000000001,4
00631,0.4538789999999998,0.04155899999999979,0.0745159999999998,1
00636,,0.615711,0.6708750000000001,
00637,0.594921,0.588233,0.5703290000000001,2
00638,0.28636399999999984,0.48336200000000007,0.609055,5
00641,0.798667,0.747714,0.75515,2
00646,0.509246,0.593973,0.614746,4
00647,0.76057,0.7917259999999999,0.7478259999999999,2
00650,0.468685,0.6228870000000001,0.6690349999999999,5
00652,0.430763,0.594146,0.648079,5
00653,0.696002,0.650547,0.5950420000000001,1
00656,0.41245900000000013,0.4220259999999999,0.40721000000000007,2
00659,0.16001900000000013,0.26858499999999996,0.3871899999999999,5
00660,0.95237,0.964346,0.9525710000000001,3
00662,0.625051,0.663514,0.6686270000000001,3
00664,0.740532,0.719355,0.7078180000000001,2
00667,0.928429,0.882957,0.807035,1
00669,0.49407899999999993,0.3182090000000001,0.23764200000000002,1
00670,0.7504899999999999,0.7008770000000001,0.681646,2
00674,0.4254819999999999,0.6031249999999999,0.651527,5
00676,0.35089499999999985,0.41386199999999995,0.4056430000000001,3
00677,0.42201,0.552072,0.5569839999999999,4
00678,0.2863089999999998,0.416462,0.5028210000000001,5
00680,0.938972,0.960643,0.965125,3
00682,0.928043,0.95317,0.967211,3
00683,0.657726,0.604689,0.579706,2
00685,0.610589,0.5779989999999999,0.4627650000000001,1
00687,0.3511420000000002,0.54727,0.6309819999999999,5
00688,0.584775,0.8058939999999999,0.898651,5
00690,0.3376819999999999,0.3989459999999999,0.48226100000000005,4
00692,0.612252,0.731706,0.7607539999999999,4
00693,0.4448699999999999,0.6317189999999999,0.6967420000000001,5
00694,0.0,0.63158,0.444975,5
00698,0.471631,0.48441,0.44642499999999985,2
00703,0.63199,0.676273,0.7246900000000001,3
00704,0.641653,0.7111149999999999,0.697139,3
00705,0.546987,0.6359350000000001,0.622394,3
00707,0.48447699999999994,0.7177389999999999,0.853484,5
00714,0.5335639999999999,0.599307,0.656547,4
00715,0.638482,0.725789,0.672506,3
00716,0.40441099999999996,0.49090599999999995,0.5997579999999999,4
00717,0.4941010000000001,0.566742,0.6300870000000001,4
00718,0.6145940000000001,0.78787,0.881069,5
00719,0.38330200000000003,0.558342,0.611806,5
00720,0.42199200000000003,0.560114,0.6589929999999999,5
00723,0.3938769999999999,0.69751,0.871544,5
00725,0.5237930000000001,0.60415,0.662021,4
00727,0.4419179999999999,0.584347,0.669638,5
00728,0.4399219999999999,0.49506000000000017,0.5787300000000001,4
00729,0.774852,0.823765,0.863946,3
00730,0.448955,0.569653,0.600863,4
00731,0.438582,0.537571,0.5806549999999999,4
00735,0.7189099999999999,0.862294,0.90829,4
00736,0.5993350000000002,0.6883300000000001,0.747518,4
00738,0.7263729999999999,0.7834679999999999,0.812338,3
00739,0.563379,0.690178,0.771842,5
00740,0.814466,0.852056,0.8336950000000001,3
00741,0.736997,0.87081,0.953093,5
00745,0.762678,0.81865,0.83998,3
00751,0.595294,0.687497,0.653998,3
00754,0.646856,0.8227990000000001,0.902676,5
00757,0.6191500000000001,0.6829500000000001,0.6209979999999999,3
00765,0.7966530000000001,0.895436,0.941494,4
00766,0.5990979999999999,0.653675,0.685203,3
00767,0.52142,0.723839,0.854998,5
00769,0.5782209999999999,0.659027,0.616757,3
00771,0.48184899999999997,0.74589,0.880225,5
00772,0.785214,0.792914,0.8282349999999999,3
00773,0.7201960000000001,0.8029189999999999,0.8361019999999999,4
00775,0.7409950000000001,0.875768,0.914936,4
00777,0.7730980000000001,0.799587,0.812818,3
00778,0.643788,0.724804,0.781582,4
00780,0.55883,0.618864,0.623416,3
00782,0.41544799999999993,0.567861,0.6348499999999999,5
00783,0.454759,0.5954820000000001,0.681317,5
00784,0.4851249999999999,0.557491,0.617639,4
00786,0.0,0.618107,0.6082380000000001,5
00791,0.756423,0.875599,0.928366,4
00794,0.38781199999999993,0.5375080000000001,0.60825,5
00795,0.6577500000000001,0.6068849999999999,0.531998,1
00901,0.5085389999999999,0.607661,0.671915,4
00906,0.0,0.0,0.0,2
00907,0.5502520000000002,0.659807,0.7399990000000001,4
00909,0.783615,0.838694,0.83415,3
00911,0.598806,0.706371,0.763314,4
00912,0.799039,0.838824,0.881576,3
00913,0.8606659999999999,0.918389,0.911435,3
00915,0.918928,0.948282,0.939667,3
00917,0.6191260000000001,0.764173,0.8114020000000001,4
00918,0.5336710000000001,0.6513140000000002,0.72973,4
00920,0.66924,0.720058,0.75322,3
00921,0.700575,0.737814,0.752487,3
00923,0.66204,0.78074,0.854195,4
00924,0.624403,0.690941,0.739835,4
00925,0.6300839999999999,0.68109,0.781186,4
00926,0.507789,0.625342,0.68389,4
00927,0.46988699999999994,0.59023,0.612867,4
00934,0.469742,0.48934200000000005,0.496958,3
00936,0.3019999999999998,,,
00949,0.5231549999999999,0.681916,0.789509,5
00950,1.0,1.0,1.0,2
00951,1.0,0.609394,0.824647,1
00952,0.63365,0.750814,0.854326,5
00953,0.3554919999999999,0.51723,0.6621950000000001,5
00956,0.5719000000000001,0.686022,0.7460929999999999,4
00957,0.5510519999999999,0.6977,0.767785,5
00959,0.567391,0.6972609999999999,0.755674,4
00960,0.5584979999999999,0.708831,0.707695,4
00961,0.5671919999999999,0.676535,0.742263,4
00962,0.562222,0.6314510000000001,0.667294,4
00965,0.604792,0.686875,0.720756,4
00966,0.5101749999999999,0.6063109999999999,0.643051,4
00968,0.4329700000000001,0.554202,0.66201,5
00969,0.511172,0.653214,0.716073,5
00971,0.576642,0.707581,0.7301340000000001,4
00976,0.456661,0.55489,0.6391140000000001,4
00979,0.6365989999999999,0.750609,0.786419,4
00982,0.685155,0.767708,0.805578,4
00983,0.721781,0.7661340000000001,0.81589,3
00985,0.7412030000000001,0.793079,0.832198,3
00987,0.719674,0.777736,0.828219,4
01001,0.16703099999999993,0.19362200000000007,0.19513400000000014,3
